Line
1	130	10.89	11.87	-5.65	-9.71	-9.67	10000
2	130	15.08	15.60	5.65	9.71	9.67	10000
3	65	16.07	16.41	9.30	16.14	16.13	10000
4	130	13.79	13.99	9.56	12.53	12.75	10000
5	65	20.28	20.72	10.90	17.48	17.97	10000
6	130	12.56	13.06	3.23	7.25	7.21	10000
7	90	22.50	23.04	9.35	9.82	12.02	10000
8	65	-1.67	-1.37	-4.49	5.79	3.53	10000
9	70	13.68	13.88	9.50	12.44	12.66	10000
10	130	9.27	9.08	13.42	10.50	10.28	10000
11	32	24.82	10000	10000	10000	10000	10000
12	65	5.79	6.05	4.28	10.55	12.38	10000
13	32	3.31	3.46	2.44	6.03	7.0	10000
14	24	-0.77	24.80	10000	10000	10000	10000
15	28	-5.31	-30.00	10000	10000	10000	10000
16	65	0.00	0.00	0.00	0.00	0.00	10000
17	65	5.79	6.05	4.28	10.55	12.38	10000
18	32	3.37	3.32	2.58	3.60	0.76	10000
19	12	5.92	5.92	4.57	7.17	12.90	10000
20	16	-2.23	-1.95	17.64	10000	10000	10000
21	22	-3.75	-3.59	-23.88	10000	10000	10000
22	65	-37.00	-37.00	-37.00	-37.00	-37.00	10000
23	15	5.39	5.44	4.71	7.13	17.37	10000
24	15	9.48	9.68	6.52	15.43	10000	10000
25	32	9.26	9.32	10.07	9.02	11.97	10000
26	16	-0.85	-0.80	-1.52	0.86	10.76	10000
27	16	9.16	9.16	10.53	7.90	2.26	10000
28	12	-8.81	-8.56	-13.76	10000	10000	10000
29	16	5.68	5.74	6.47	5.43	8.31	10000
30	16	5.87	5.86	7.19	4.62	-0.94	10000
31	10	-3.65	-3.66	-2.34	-4.90	-10.44	10000
32	19	-19.78	-19.49	10000	10000	10000	10000
33	16	-2.10	-1.64	-2.82	-3.21	10000	10000
34	16	7.09	7.34	2.02	16.00	10000	10000
35	16	-3.86	-3.14	-9.62	3.59	10000	10000
36	16	3.55	3.55	3.55	3.55	10000	10000
37	12	-7.44	-6.71	-13.41	10000	10000	10000
38	65	-6.11	-6.85	0.00	0.00	0.00	0.00
39	16	6.17	6.17	6.17	6.17	6.17	6.17
40	16	7.12	7.12	7.12	7.12	7.12	7.12
41	16	3.68	3.68	3.68	3.68	3.68	3.68	
